Data_vygruzki,kadastr,object_type,build_year,name,wall_material,Etazh_raspolozheniya__dlya_pomescheniya__MM_,God_vvoda,Kod_podgruppy__iz_perechnya_,KN_roditelskogo_obyekta__dlya_pomescheniy_,Etazhnost__dlya_zdaniya__roditelya_,Naznachenie,Kod_NP__iz_perechnya_,Kod_rascheta_vida_ispolzovaniya__iz_perechnya_,address,permitted_use,Kategoriya,Vid_kharakteristiki,deal_type,KN_ZU__v_granitsakh_kotorogo_raspolozhen_OKS,Nalichie_OKS_v_granitsakh_ZU,Data_vydachi__dokumenta_osnovaniya,Data_registratsii_prava,price_per_sqm,Vid_zaregistrirovannogo_prava__Kod_,Kolichestvo_obyektov_nedvizhimosti,KS_s_perechnya,Dolya_CHislitel,Dolya_Znamenatel,sravnenie,Razmer_priobretaemoy_doli_ili_razmery_priobretaemykh_doley,ploshad_zu_v_sostave,area,price_total,Маркер_Выброса,object_type_code,wall_material_code
2025-04-01,89:11:040101:4132,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, городской округ город Новый Уренгой, город Новый Уренгой, садовое товарищество ДНТ Титан, улица Лучистая, земельный участок 21",Ведение дачного хозяйства,Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-25,2025-02-11,3583.3333333333335,001001000000,1,738318.0,,,нет,,,600.0,2150000.0,,1.0,0.0
2025-04-01,89:08:070101:1029,Земельный участок,2015.0,,,,,,,,,8:2,13:021,"Ямало-Ненецкий автономный округ, Городской округ город Салехард, ДНТ ""Север"", ул Нагорная, участок № 26",ведение садоводства (13.2),Земли сельскохозяйственного назначения,площадь,Купля-продажа,,0,2025-02-21,2025-02-24,2145.922746781116,001001000000,1,626870.19,,,нет,,,699.0,1500000.0,,1.0,0.0
2025-04-01,89:12:110807:22,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Ханто-1, ряд 5, гараж №47",для размещения гаражей и автостоянок,Земли населенных пунктов,площадь,Купля-продажа,,0,2025-03-27,2025-03-31,9090.90909090909,001001000000,1,60045.84,,,нет,,,22.0,200000.0,,1.0,0.0
2025-08-01,89:05:030301:3840,Земельный участок,2015.0,,,,,,,,,,02:071,"Ямало-Ненецкий автономный округ, г Губкинский, ул Лермонтова, коллективные гаражи, ряд №3, участок №1",хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,89:05:030301:4164,2025-03-24,2025-04-23,1390.49,001001000000,1,,,,,,,64.0,88991.36,,1.0,0.0
2025-11-01,89:03:040101:70,Земельный участок,2015.0,,,,,,,,,,02:071,"Ямало-Ненецкий автономный округ, р-н Ямальский, с Яр-Сале, ул Советская, 58/1",объекты гаражного назначения,Земли населенных пунктов,площадь,Купля-продажа,,89:03:040101:726,2025-09-24,2025-09-25,8333.333333333334,001001000000,1,,,,,,,120.0,1000000.0,,1.0,0.0
2026-01-04,89:14:020102:105,Земельный участок,2015.0,,,,,,,,,,,"Ямало-Ненецкий автономный округ, г Губкинский, объект 0008,, панель II, дом 3",Ремонт автомобилей (4.9.1.4),003002000000,Площадь,Купля-продажа,,,2019-03-04,2026-03-05,634.6153846153846,001002000000,1,,,,,,,1040.0,660000.0,,1.0,0.0
2025-04-01,89:11:040201:210,Земельный участок,2015.0,,,,,,,,,11:0,02:011,"Ямало-Ненецкий автономный округ, г Новый Уренгой, восточнее мкр. Восточный",Для индивидуального жилищного строительства,Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-28,2025-01-10,8333.333333333334,001001000000,1,2489430.0,,,нет,,,600.0,5000000.0,,1.0,0.0
2025-04-01,89:08:010102:12,Земельный участок,2015.0,,,,,,,,,8:0,02:011,"Ямало-Ненецкий автономный округ, городской округ город Салехард, город Салехард, улица Н.Сандалова, земельный участок 7",Для индивидуального жилищного строительства,Земли населенных пунктов,площадь,Купля-продажа,,89:08:010102:314;89:08:000000:2685;89:08:000000:2686,2024-12-27,2025-01-10,5489.260143198091,001001000000,1,2851554.78,,,нет,,,838.0,4600000.0,,1.0,0.0
2025-04-01,89:12:110805:2,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Ханто-1, блок 34, гараж 20",для размещения гаражей и автостоянок,Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-28,2025-01-10,25000.0,001001000000,1,60045.84,,,нет,,,24.0,600000.0,,1.0,0.0
2025-04-01,89:12:110616:6734,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, городской округ город Ноябрьск, город Ноябрьск, улица Холмогорская, земельный участок 31а/35",Размещение гаражей для собственных нужд,Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-30,2025-01-10,34672.65567314792,001001000000,1,0.0,,,нет,,,42.0,1668000.0,Выброс,1.0,0.0
2025-04-01,89:05:030605:5154,Земельный участок,2015.0,,,,,,,,,5:2,06:090,"Ямало-Ненецкий автономный округ, Пуровский район, сельское поселение поселок Пурпе, поселок Пурпе-1, микрорайон Промышленный, участок № 17",склады (код 6.9),"Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения",площадь,Купля-продажа,,89:05:030301:2042;89:05:030301:4526,2024-12-12,2025-01-10,412.9955947136564,001001000000,1,126248.32,,,нет,,,7264.0,3000000.0,,1.0,0.0
2025-04-01,89:12:120102:137,Земельный участок,2015.0,,,,,,,,,12:1,13:021,"Ямало-Ненецкий автономный округ, г Ноябрьск, 29-й км окружной автомобильной дороги Подъезд к г Ноябрьску, проезд 12, участок 32","земельные участки, находящиеся в составе дачных, садоводческих и огороднических объединений",Земли сельскохозяйственного назначения,площадь,Купля-продажа,,89:12:120102:159,2025-01-09,2025-01-13,3211.517165005537,001001000000,1,428383.2,,,нет,,,903.0,2900000.0,,1.0,0.0
2025-04-01,89:04:020106:219,Земельный участок,2015.0,,,,,,,,,4:0,02:011,"Ямало-Ненецкий автономный округ, Надымский муниципальный район, Городское поселение поселок Пангоды, пгт Пангоды, мкр 10, участок № 61а","Земельные участки, предназначенные для размещения домов малоэтажной жилой застройки, в том числе индивидуальной жилой застройки",Земли населенных пунктов,площадь,Купля-продажа,,89:04:020106:927,2024-12-03,2025-01-13,694.6800000000001,001001000000,1,486276.0,,,нет,,,699.0,485581.32,,1.0,0.0
2025-04-01,89:12:110804:34,Земельный участок,2015.0,,,,,,,,,12:0,02:071,"Ямало-Ненецкий автономный округ, г Ноябрьск, ГК Ханто-1, ряд 1, гараж №85",для размещения гаражей и автостоянок,Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-29,2025-01-13,21428.571428571428,001001000000,1,70053.48,,,нет,,,28.0,600000.0,,1.0,0.0
2025-04-01,89:11:040101:7979,Земельный участок,2015.0,,,,,,,,,11:0,13:021,"Ямало-Ненецкий автономный округ, городской округ город Новый Уренгой, город Новый Уренгой, район Северный",Ведение садоводства (код 13.2),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-04,2025-01-13,246.106,001001000000,1,756775.9499999998,,,нет,,,615.0,151355.19,,1.0,0.0
2025-04-01,89:05:020113:279,Земельный участок,2015.0,,,,,,,,,5:0,02:071,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, район промбазы НГРЭИС, ряд 10, участок №16",хранение автотранспорта(2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,89:05:020113:641,2024-12-26,2025-01-14,3174.39,001001000000,1,136498.77,,,да,,,43.0,136498.77,,1.0,0.0
2025-04-01,89:05:020113:164,Земельный участок,2015.0,,,,,,,,,5:0,02:071,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, район промбазы НГРЭИС, ряд №3, участок №20",Хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-30,2025-01-14,24242.424242424244,001001000000,1,104754.87,,,нет,,,33.0,800000.0,,1.0,0.0
2025-04-01,89:05:020113:277,Земельный участок,2015.0,,,,,,,,,5:0,02:071,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, район промбазы НГРЭИС, ряд 10, участок №14",хранение автотранспорта(2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,89:05:020113:649,2024-12-26,2025-01-14,3174.39,001001000000,1,136498.77,,,да,,,43.0,136498.77,,1.0,0.0
2025-04-01,89:05:020120:128,Земельный участок,2015.0,,,,,,,,,5:0,02:071,"Ямало-Ненецкий автономный округ, р-н Пуровский, г Тарко-Сале, р-н котельной №4, участок №13",хранение автотранспорта (код 2.7.1),Земли населенных пунктов,площадь,Купля-продажа,,0,2024-12-26,2025-01-14,3399.77,001001000000,1,101993.1,,,да,,,30.0,101993.1,,1.0,0.0
